country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
HR,2023,79186.3,3850894.0,Croatia,20563.095218928385,22208.142836442657,,0.481
HR,2024,85905.2,3861967.0,Croatia,22243.897992913975,24023.409832347093,,0.4871
HR,2025,92975.1,3874350.0,Croatia,23997.599597351815,25917.40756513996,,0.5529
HU,1995,35585.4,10336700.0,Hungary,3442.6267570888194,3718.0368976559253,,0.2549
HU,1996,36896.3,10321229.0,Hungary,3574.7971486728957,3860.7809205667277,,0.2526
HU,1997,41831.0,10301247.0,Hungary,4060.770506716323,4385.632147253629,,0.2715
HU,1998,43477.8,10279724.0,Hungary,4229.471530558602,4567.82925300329,,0.2702
HU,1999,46121.5,10253416.0,Hungary,4498.159442667692,4858.012198081107,,0.2765
HU,2000,51300.9,10221644.0,Hungary,5018.850196700257,5420.358212436277,,0.3034
HU,2001,60068.8,10200298.0,Hungary,5888.925990201463,6360.0400694175805,,0.3444
HU,2002,71785.3,10174853.0,Hungary,7055.168266313037,7619.581727618081,,0.3941
HU,2003,75344.2,10142362.0,Hungary,7428.664052811367,8022.957177036276,,0.4065
HU,2004,83798.3,10116742.0,Hungary,8283.131071248035,8945.781556947879,,0.4304
HU,2005,90999.5,10097549.0,Hungary,9012.038465968326,9733.001543245793,,0.438
HU,2006,92038.0,10076581.0,Hungary,9133.852047634015,9864.560211444736,,0.4248
HU,2007,102368.2,10066158.0,Hungary,10169.54035491992,10983.103583313514,,0.441
HU,2008,108278.8,10045401.0,Hungary,10778.942523051095,11641.257924895184,,0.4719
HU,2009,94416.6,10030975.0,Hungary,9412.50476648581,10165.505147804675,,0.4416
HU,2010,99562.8,10014324.0,Hungary,9942.039023303021,10737.402145167263,,0.4413
HU,2011,101986.9,9985722.0,Hungary,10213.272510490478,11030.334311329718,,0.4317
HU,2012,99979.9,9931925.0,Hungary,10066.517820060059,10871.839245664863,,0.4089
HU,2013,102210.9,9895250.0,Hungary,10329.28930547485,11155.632449912839,,0.3667
HU,2014,106335.3,9850217.0,Hungary,10795.224105215144,11658.842033632356,,0.3833
