idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
136,Vulnerability Intelligence Analyst (Remote),CrowdStrike,Catalonia,Catalonia,backend,Mid,38130.55,1.0741,True,False,28590.0
137,Junior Data Engineer,Socialpoint,Catalonia,Catalonia,data_engineer,Junior,33297.1,1.0741,True,True,28590.0
138,Senior Data Analyst - Product,FREE NOW,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
139,CRM-Data Analyst,imagin,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
140,(Senior) Data Analyst m/f/d I on-site or remote,BestSecret,,Total Nacional,data_analyst,Senior,49000.0,1.0,True,False,
141,Data Engineer,AXA Partners,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
142,Data Analyst - Product,FREE NOW,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
143,Data Engineer Internship,Zurich Insurance,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
144,Data Engineer BI,Page Personnel,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
145,Data Engineer BI,Page Personnel,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
146,Senior Data Analyst,Reloadly,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
147,Biostatistician II,Veristat,Catalonia,Catalonia,mobile,Mid,41889.9,1.0741,False,False,28590.0
148,Data Analyst,Grupo Planeta,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
149,Digital Marketing Data Analyst/Data Scientist,HP,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
150,Business Data Analyst (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
151,Junior Data Analyst,TravelPerk,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,False,28590.0
152,Data Scientist - Insurance / Financial Services Background,Zurich Insurance,Catalonia,Catalonia,data_scientist,Mid,45112.2,1.0741,True,False,28590.0
153,EMEA BI Sr Data Analyst,Ingram Micro,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
154,Senior Data Analyst,Dynatrace,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
155,Data Analyst,AHEAD TECHNOLOGY,,Total Nacional,data_analyst,Mid,36500.0,1.0,True,False,
156,"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
157,Junior Solution Engineer DWH/BI,Zurich Insurance,Catalonia,Catalonia,backend,Junior,26852.5,1.0741,True,True,28590.0
